class,precision,recall,f1_score,support
Ala,0.667,1.0,0.8,2
Arg,0.667,1.0,0.8,2
Asn,1.0,1.0,1.0,1
Asp,0.0,0.0,0.0,0
Cys,1.0,1.0,1.0,1
Gln,0.0,0.0,0.0,0
Glu,0.0,0.0,0.0,1
Gly,0.0,0.0,0.0,0
His,0.0,0.0,0.0,0
Ile,1.0,1.0,1.0,1
Ile2,0.0,0.0,0.0,0
Leu,1.0,1.0,1.0,4
Lys,0.0,0.0,0.0,0
Met,1.0,1.0,1.0,1
Phe,0.0,0.0,0.0,1
Pro,0.0,0.0,0.0,0
SeC,0.0,0.0,0.0,0
Ser,1.0,1.0,1.0,2
Thr,0.0,0.0,0.0,0
Trp,0.0,0.0,0.0,2
Tyr,0.0,0.0,0.0,0
Val,0.0,0.0,0.0,1
fMet,1.0,1.0,1.0,1
CV_mean,0.75,,,
CV_std,0.034,,,
test_acc,0.75,,,20
